lowlevel.mfcc.mean.1,lowlevel.mfcc.mean.10,lowlevel.mfcc.mean.11,lowlevel.mfcc.mean.12,lowlevel.mfcc.mean.2,lowlevel.mfcc.mean.3,lowlevel.mfcc.mean.4,lowlevel.mfcc.mean.5,lowlevel.mfcc.mean.6,lowlevel.mfcc.mean.7,lowlevel.mfcc.mean.8,lowlevel.mfcc.mean.9,lowlevel.spectral_centroid.mean,lowlevel.spectral_spread.mean,lowlevel.spectral_rolloff.mean,lowlevel.spectral_skewness.mean,lowlevel.spectral_flux.mean,lowlevel.spectral_kurtosis.mean,lowlevel.spectral_complexity.mean,lowlevel.spectral_contrast_coeffs.mean.0,lowlevel.spectral_contrast_coeffs.mean.1,lowlevel.spectral_contrast_coeffs.mean.2,lowlevel.spectral_contrast_coeffs.mean.3,lowlevel.spectral_contrast_coeffs.mean.4,lowlevel.spectral_contrast_coeffs.mean.5,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.mean.1,lowlevel.spectral_contrast_valleys.mean.2,lowlevel.spectral_contrast_valleys.mean.3,lowlevel.spectral_contrast_valleys.mean.4,lowlevel.spectral_contrast_valleys.mean.5,lowlevel.dissonance.dmean
104.65,-3.9,-1.37,0.21,-21.26,-6.78,-15.97,-13.15,-8.88,-2.11,-5.1,-0.13,1435.06,5076781.5,1823.14,1.75,0.1,5.06,29.04,-0.65,-0.7,-0.73,-0.76,-0.78,-0.77,-7.94,-5.95,-6.7,-7.04,-7.05,-9.47,0.04
104.31,-4.46,-0.3,0.6,-22.17,-6.76,-17.3,-13.92,-9.31,-2.27,-6.63,-1.18,1441.92,5148501.5,1811.66,1.71,0.1,4.79,30.09,-0.65,-0.71,-0.73,-0.77,-0.79,-0.77,-8.02,-5.93,-6.64,-6.98,-7,-9.45,0.04
104.04,-3.55,0.5,0.88,-22.84,-6.65,-19.35,-14.98,-9.81,-2.74,-6.76,-1.04,1465.04,4895696.5,1806.4,1.68,0.09,4.83,30.42,-0.65,-0.72,-0.74,-0.78,-0.79,-0.77,-8.11,-5.94,-6.58,-7.01,-6.98,-9.51,0.04
100.74,-4.62,0.25,1.11,-23.73,-7.07,-20.41,-16.32,-11.19,-3.26,-7.08,-1.64,1490.38,4906480.5,1859.03,1.63,0.09,4.39,31.56,-0.65,-0.73,-0.74,-0.79,-0.79,-0.77,-8.11,-5.89,-6.54,-6.95,-6.91,-9.47,0.03
97.76,-4.21,0.43,0.52,-22.64,-7.26,-20.62,-17.56,-11.91,-3.43,-7.19,-2.38,1515.48,5382974.5,1861.43,1.62,0.09,4.28,32.49,-0.64,-0.74,-0.74,-0.79,-0.79,-0.77,-8.15,-5.83,-6.5,-6.93,-6.85,-9.34,0.03
97.71,-3.68,0.24,0.35,-20.5,-7.44,-21.21,-17.91,-11.14,-2.5,-6.33,-1.47,1510.16,5526757,1834.63,1.62,0.1,4.27,33.4,-0.64,-0.74,-0.74,-0.8,-0.8,-0.77,-8.04,-5.76,-6.36,-6.87,-6.78,-9.25,0.03
101.16,-2.38,0.92,0.11,-21.11,-5.14,-20.21,-16.86,-10.64,-2.37,-6.8,-1.07,1494.71,5521920,1763.81,1.59,0.11,4.12,34.73,-0.63,-0.74,-0.73,-0.79,-0.79,-0.77,-7.94,-5.68,-6.34,-6.82,-6.74,-9.24,0.03
106.52,-2.58,0.18,0.08,-22.05,-3.77,-19.23,-15.52,-9.57,-1.48,-6.66,-1.28,1432.25,4580012.5,1660.93,1.69,0.11,4.9,34.78,-0.63,-0.73,-0.72,-0.79,-0.79,-0.77,-7.79,-5.71,-6.34,-6.81,-6.78,-9.39,0.04
110.38,-1.75,1.45,0.29,-22.14,-2.6,-17.59,-13.63,-7.9,-0.52,-6.04,-0.33,1421.6,5280562,1646.57,1.65,0.1,4.66,33.29,-0.64,-0.72,-0.73,-0.79,-0.79,-0.77,-7.7,-5.82,-6.35,-6.86,-6.82,-9.45,0.03
115.24,-1.41,1.3,0.51,-19.65,-0.73,-14.89,-11.85,-6.65,0.89,-4.12,-0.28,1346.08,4461349,1493.93,1.74,0.1,5.18,31.13,-0.65,-0.72,-0.73,-0.79,-0.79,-0.77,-7.65,-5.89,-6.41,-6.94,-6.94,-9.61,0.03
117.91,-0.95,1.24,1.42,-18.68,-0.01,-12.55,-9.87,-5.43,1.44,-3.19,-0.61,1308.48,4459922.5,1455.17,1.77,0.1,5.18,30.47,-0.65,-0.72,-0.74,-0.79,-0.79,-0.77,-7.51,-5.95,-6.41,-6.97,-7.03,-9.66,0.03
123.48,0.15,1.92,1.65,-16.43,2.05,-10.43,-9.2,-4.81,2.45,-2.05,0.49,1271.75,4724050.5,1367.12,1.81,0.09,5.29,28.2,-0.67,-0.73,-0.74,-0.79,-0.79,-0.78,-7.45,-6,-6.48,-7.05,-7.12,-9.77,0.03
125.18,-0.02,1.86,2.75,-14.96,2.96,-7.24,-8.05,-4.08,2.49,-1.55,0.41,1253.95,4829357,1366.64,1.88,0.08,5.74,25.53,-0.68,-0.74,-0.75,-0.8,-0.8,-0.78,-7.42,-6.06,-6.58,-7.13,-7.24,-9.89,0.03
125.95,0.63,1.78,2.7,-11.6,3.22,-4.76,-6.84,-3.64,2.55,-1.25,0.82,1249.06,4815411,1398.7,1.86,0.08,5.46,23.13,-0.69,-0.74,-0.76,-0.8,-0.8,-0.79,-7.37,-6.15,-6.67,-7.25,-7.37,-9.95,0.03
124.73,0.45,1.6,3.22,-7.98,3.17,-3.14,-6.08,-3.96,1.41,-1.8,0.9,1227.87,5137383,1397.27,1.9,0.08,5.64,22.84,-0.69,-0.75,-0.77,-0.8,-0.8,-0.79,-7.26,-6.09,-6.67,-7.22,-7.36,-9.84,0.03
122.36,-0.83,1.2,3.22,-8.53,2.09,-3.38,-5.24,-2.67,1.88,-2.75,0.03,1261.27,5341322,1450.86,1.85,0.08,5.31,22.02,-0.68,-0.75,-0.77,-0.8,-0.81,-0.8,-7.39,-6.18,-6.71,-7.26,-7.38,-9.83,0.03
118.4,-2.52,0.27,2.8,-10.25,1.19,-3.75,-5.78,-3.94,0.09,-5.5,-1.76,1272.99,5354536,1491.05,1.81,0.06,5.03,18.87,-0.67,-0.76,-0.78,-0.8,-0.81,-0.8,-7.68,-6.4,-6.92,-7.44,-7.55,-9.98,0.03
113.94,-3.44,-0.53,2.61,-11.05,0.19,-5.63,-7.55,-5.88,-1.41,-6.76,-2.39,1315.89,5048801.5,1532.69,1.77,0.07,4.96,19.93,-0.65,-0.75,-0.77,-0.8,-0.8,-0.8,-7.82,-6.43,-6.92,-7.42,-7.51,-9.92,0.03
110.14,-3.73,-0.47,1.71,-13.04,-2.25,-7.31,-7.29,-5.55,-2.48,-7.78,-3.6,1337.51,5621296.5,1534.12,1.73,0.07,4.55,20.33,-0.64,-0.75,-0.76,-0.79,-0.8,-0.79,-7.96,-6.48,-6.95,-7.44,-7.47,-9.83,0.03
106.35,-3.87,-0.17,1.51,-13.77,-2.23,-7.76,-7.98,-6.43,-4.21,-9.27,-4.33,1384,5257374,1592.02,1.73,0.06,4.71,19.82,-0.63,-0.74,-0.76,-0.78,-0.8,-0.79,-8.14,-6.6,-7.07,-7.49,-7.47,-9.85,0.03
106.89,-5.01,-0.28,1.14,-15.71,-3.65,-10.22,-9.45,-7.44,-6.2,-11.7,-5.81,1335.1,5511739.5,1523.59,1.7,0.06,4.46,21.47,-0.61,-0.72,-0.75,-0.77,-0.79,-0.79,-8.11,-6.52,-7.03,-7.44,-7.42,-9.78,0.03
104.42,-5.08,-0.3,-0.66,-17.62,-4.7,-11.59,-9.23,-8.15,-7.45,-13.15,-5.74,1353.28,5234961,1548.48,1.67,0.07,4.41,22.44,-0.58,-0.71,-0.73,-0.76,-0.79,-0.78,-8.25,-6.51,-7.03,-7.41,-7.35,-9.73,0.03
100.14,-7.51,-1.07,-0.62,-18.47,-5.61,-12.61,-10.29,-8.94,-7.46,-13.54,-6.97,1395.96,5663429,1636.05,1.65,0.06,4.33,23.13,-0.56,-0.7,-0.72,-0.75,-0.78,-0.78,-8.38,-6.56,-7.03,-7.42,-7.31,-9.64,0.03
100.53,-7.12,-0.04,-0.15,-17.86,-5.71,-12.74,-8.82,-8.9,-8.5,-14.18,-7.45,1357.79,5509217.5,1599.2,1.64,0.07,4.27,24.27,-0.56,-0.69,-0.71,-0.74,-0.78,-0.77,-8.26,-6.48,-7.04,-7.38,-7.26,-9.58,0.03
102.38,-7.89,0.16,-0.74,-19.71,-5.22,-13.19,-8.13,-7.96,-7.57,-13.21,-7.33,1360.85,4862957,1544.65,1.63,0.07,4.38,25.69,-0.55,-0.69,-0.7,-0.73,-0.77,-0.77,-8.17,-6.42,-6.96,-7.33,-7.16,-9.57,0.03
106,-6.83,1.75,-0.74,-21.23,-4.07,-12.95,-7.1,-7.5,-7.08,-12.45,-7.15,1370.95,5498208.5,1507.32,1.64,0.07,4.34,25.91,-0.56,-0.68,-0.69,-0.73,-0.77,-0.76,-8.06,-6.42,-6.96,-7.32,-7.22,-9.63,0.03
110.46,-5.77,3.18,-0.86,-21.19,-3.26,-12.74,-6.44,-6.84,-5.55,-10.91,-6.99,1326.95,4591777.5,1446.55,1.68,0.07,4.68,25.58,-0.57,-0.68,-0.68,-0.73,-0.76,-0.76,-7.98,-6.41,-7,-7.37,-7.28,-9.79,0.03
112.43,-4.95,4.16,0.06,-20.08,-2.4,-11.77,-5.01,-5.46,-3.63,-8.66,-6.42,1347,4717573,1457.08,1.73,0.07,4.91,24.58,-0.6,-0.68,-0.68,-0.73,-0.76,-0.76,-7.82,-6.42,-7.05,-7.4,-7.35,-9.86,0.03
112.94,-4.62,4.12,-0.31,-20.54,-1.2,-10.83,-4.08,-4.74,-3.24,-6.73,-4.9,1381.96,4956600,1502.54,1.75,0.07,5.05,23.78,-0.62,-0.69,-0.69,-0.73,-0.76,-0.76,-7.77,-6.43,-7.04,-7.44,-7.43,-9.91,0.03
115.09,-3.41,4.2,0.29,-19.12,0.94,-8.76,-3.42,-4.71,-1.68,-5.07,-3.61,1404.51,5052601,1565.22,1.76,0.07,5.03,22.76,-0.63,-0.7,-0.69,-0.73,-0.76,-0.76,-7.73,-6.47,-7.13,-7.49,-7.5,-9.99,0.02
116.96,-3.58,2.84,0.37,-17.71,1.5,-7.72,-3.22,-4.77,-1.2,-3.07,-2.94,1370.95,5229646,1508.28,1.76,0.07,4.93,23.6,-0.64,-0.71,-0.69,-0.74,-0.76,-0.76,-7.59,-6.35,-7.07,-7.43,-7.49,-9.94,0.03
117.55,-2.71,2.86,2,-15.8,1.46,-6.12,-2.22,-3.86,0.27,-1.69,-2.46,1348.32,5069621.5,1528.38,1.8,0.07,5.1,22.64,-0.65,-0.71,-0.7,-0.74,-0.76,-0.77,-7.46,-6.4,-7.04,-7.44,-7.56,-9.96,0.03
114.12,-2.25,2.89,3.18,-12.45,2.11,-5.25,-3.48,-4.14,0.25,-0.95,-1.27,1435.24,5560389.5,1916.45,1.75,0.07,4.72,21.73,-0.67,-0.72,-0.71,-0.76,-0.77,-0.77,-7.43,-6.42,-7.07,-7.42,-7.54,-9.87,0.04
109.89,-1.4,2.66,2.65,-12.33,0.91,-6.77,-4.33,-4.22,-0.29,-1.37,-0.42,1492.62,5577443,2110.73,1.77,0.07,4.92,22.18,-0.68,-0.73,-0.71,-0.77,-0.77,-0.77,-7.59,-6.43,-7.04,-7.39,-7.5,-9.79,0.03
104.51,-1.21,1.96,1.27,-12.65,1.7,-9.17,-6.94,-5.04,0.19,-1.63,0.39,1601.33,5551378,2298.79,1.7,0.07,4.52,22.71,-0.68,-0.73,-0.72,-0.78,-0.77,-0.77,-7.66,-6.47,-7.07,-7.41,-7.45,-9.76,0.03
100.65,-1.24,1.18,1.09,-13.12,0.45,-11.75,-9.02,-6.83,-0.87,-2.69,0.25,1635.43,5414323,2354.78,1.68,0.07,4.63,23.56,-0.67,-0.73,-0.73,-0.79,-0.78,-0.77,-7.91,-6.48,-7.05,-7.36,-7.4,-9.72,0.03
95.89,-1.42,-0.11,0.77,-13.36,0.81,-13.37,-10.38,-6.93,-1.03,-3.81,0.69,1733.15,5808756,2556.71,1.62,0.07,4.24,24.89,-0.67,-0.73,-0.73,-0.79,-0.78,-0.78,-7.95,-6.53,-7.02,-7.33,-7.3,-9.59,0.03
90.23,-2.39,-0.75,1.75,-14.31,1.66,-13.92,-10.83,-6.82,-1.52,-5.22,0.67,1845.94,5546987.5,2741.42,1.57,0.07,4.03,28.78,-0.65,-0.73,-0.74,-0.8,-0.79,-0.77,-8,-6.46,-6.9,-7.17,-7.08,-9.42,0.02
88.69,-2.26,-0.91,1.16,-16.92,-0.11,-15.55,-11.77,-7.62,-1.94,-5.71,1.07,1845.69,5342234,2740.46,1.52,0.08,3.84,29.89,-0.65,-0.72,-0.74,-0.8,-0.79,-0.77,-8.11,-6.46,-6.82,-7.11,-7.02,-9.4,0.03
88.41,-3.1,-0.35,1.96,-17,-1.24,-17.65,-13.73,-8.14,-1.45,-6.59,0.61,1831.61,5739190.5,2712.71,1.49,0.08,3.64,31.36,-0.64,-0.73,-0.75,-0.8,-0.79,-0.77,-8.2,-6.33,-6.72,-7.06,-6.92,-9.32,0.03
86.43,-2.98,-0.58,1.24,-17.62,-1.22,-17.92,-14.5,-8.41,-2.44,-7.22,0.67,1881.98,5289308.5,2811.28,1.48,0.08,3.71,33.8,-0.63,-0.73,-0.75,-0.81,-0.79,-0.77,-8.26,-6.26,-6.61,-6.98,-6.82,-9.27,0.03
88.71,-2.65,-0.09,0.78,-16.3,-1.95,-17.7,-13.37,-7.21,-1.68,-7.54,0.6,1832.21,5587021,2730.89,1.51,0.09,3.79,34.96,-0.63,-0.73,-0.76,-0.81,-0.8,-0.77,-8.08,-6.18,-6.48,-6.89,-6.76,-9.2,0.02
89.83,-2.21,0.64,0.75,-14.95,0.5,-16.89,-12.47,-7.41,-1.4,-6.61,1.27,1822.75,5407305.5,2696.91,1.5,0.09,3.79,35.87,-0.64,-0.74,-0.77,-0.81,-0.8,-0.77,-7.99,-6.1,-6.43,-6.83,-6.74,-9.19,0.02
93.93,-2.48,0.9,0.44,-17.11,1.53,-16.37,-11.61,-7.59,-1.1,-6.2,0.82,1771.77,5138106,2400.23,1.52,0.09,3.97,36.33,-0.63,-0.74,-0.76,-0.81,-0.8,-0.76,-7.91,-6.02,-6.38,-6.79,-6.71,-9.27,0.03
100.54,-2,1.5,1.32,-16.53,2.98,-14.18,-9.58,-7.45,-1.34,-6.12,0.6,1656.01,5142894.5,2148.06,1.57,0.09,4.27,35.53,-0.64,-0.74,-0.77,-0.8,-0.8,-0.76,-7.74,-5.93,-6.37,-6.81,-6.77,-9.37,0.03
105.93,-1.27,2.44,1.97,-16.69,2.92,-12.44,-8.22,-6.68,-1.34,-5.32,0.49,1568.64,5184252.5,1970.53,1.59,0.09,4.18,33.93,-0.65,-0.74,-0.77,-0.8,-0.8,-0.76,-7.62,-5.93,-6.4,-6.83,-6.83,-9.47,0.03
110.95,-0.8,2.29,2.32,-15.09,3.28,-10.05,-6.82,-5.58,-1.89,-4.74,0.59,1470.58,4731795.5,1772.42,1.7,0.1,4.88,33.02,-0.65,-0.74,-0.78,-0.8,-0.8,-0.77,-7.47,-5.92,-6.37,-6.81,-6.9,-9.54,0.03
116.22,-0.21,2.48,3.37,-13.56,4.06,-7.89,-5.52,-4.51,-1.84,-3.45,0.65,1391.26,5386927.5,1590.11,1.71,0.1,4.75,32.84,-0.65,-0.74,-0.78,-0.79,-0.8,-0.77,-7.35,-5.83,-6.32,-6.83,-6.92,-9.53,0.03
119.74,0.31,2.61,4.24,-12.87,3.44,-5.65,-5.16,-4.04,-2.16,-2.29,1.41,1298.36,4795496.5,1502.06,1.79,0.1,5.1,30.31,-0.66,-0.74,-0.78,-0.8,-0.8,-0.78,-7.34,-5.9,-6.4,-6.87,-7.07,-9.69,0.03
119.82,0.74,2.78,5.05,-10.51,3.42,-2.75,-3.9,-2.81,-1.69,-1.64,1.81,1302.59,5210134,1611.16,1.8,0.09,5.03,27.96,-0.67,-0.75,-0.79,-0.8,-0.81,-0.78,-7.3,-6,-6.5,-6.95,-7.16,-9.69,0.02
116.43,1.38,3.44,5.91,-8.92,4.65,-3.13,-5.44,-2.96,-2.22,-1.3,2.35,1442.99,5488802,1788.69,1.82,0.08,5.16,22.82,-0.7,-0.76,-0.79,-0.81,-0.81,-0.79,-7.46,-6.18,-6.74,-7.17,-7.33,-9.79,0.02
111.88,1.37,2.98,5.23,-9.27,4.02,-3.86,-6.32,-2.86,-1.66,-1.94,2.48,1528.94,5371831,1912.15,1.81,0.07,5.05,20.89,-0.71,-0.76,-0.8,-0.81,-0.81,-0.79,-7.59,-6.35,-6.9,-7.33,-7.43,-9.85,0.03
103.91,0.33,2.87,5.06,-13.16,2.01,-5.77,-6.15,-3.55,-2.81,-2.17,2.68,1657.32,5024383,2182.99,1.72,0.06,4.72,19.49,-0.72,-0.77,-0.79,-0.81,-0.81,-0.79,-7.99,-6.57,-7.13,-7.45,-7.53,-9.94,0.02
95.37,-0.02,2.43,3.44,-15.31,0.54,-7.73,-7.84,-4.52,-2.81,-2.6,1.97,1809.49,5762903,2550.97,1.67,0.06,4.51,20.78,-0.71,-0.77,-0.79,-0.8,-0.81,-0.79,-8.21,-6.62,-7.17,-7.5,-7.48,-9.82,0.03
88.37,-0.34,2.6,4.09,-16.65,-2.06,-10.01,-8.2,-4.25,-2.66,-2.46,1.98,1918.45,5261241,2817.5,1.63,0.07,4.3,23.33,-0.71,-0.76,-0.79,-0.8,-0.8,-0.79,-8.28,-6.61,-7.09,-7.42,-7.36,-9.65,0.03
80.16,0.48,3.15,3.63,-17.21,-3.29,-12.77,-9.79,-5.25,-2.73,-2.22,2.11,2042.8,5697629,3079.25,1.59,0.07,4.11,25.56,-0.71,-0.76,-0.79,-0.79,-0.8,-0.78,-8.4,-6.57,-7.09,-7.38,-7.26,-9.48,0.02
74.05,0.45,3.48,3.48,-18.2,-4.34,-14.52,-10.53,-6.23,-2.94,-2.7,1.15,2113.19,5734803.5,3284.53,1.51,0.07,3.7,26.73,-0.7,-0.75,-0.79,-0.78,-0.79,-0.78,-8.53,-6.54,-7.08,-7.37,-7.17,-9.37,0.02
68.94,0.34,3.22,2.69,-18.58,-4.66,-16.82,-12.22,-8.7,-3.73,-3.32,1.76,2183.93,5977888.5,3412.3,1.44,0.07,3.38,28.33,-0.7,-0.75,-0.78,-0.78,-0.79,-0.77,-8.51,-6.45,-7.08,-7.31,-7.08,-9.23,0.02
64.09,-0.33,3.27,1.82,-20.18,-5.66,-19.48,-12.3,-9.45,-4.11,-3.73,0.67,2256.13,6110327,3501.3,1.37,0.08,3.09,30.16,-0.69,-0.74,-0.77,-0.77,-0.78,-0.76,-8.56,-6.4,-7.04,-7.26,-6.98,-9.09,0.02
63.15,-0.62,3.51,1.74,-19.88,-4.54,-20.15,-11.59,-9.87,-4,-3.65,0.67,2287.31,5734435,3510.39,1.35,0.08,3.09,31.84,-0.69,-0.73,-0.76,-0.76,-0.78,-0.75,-8.42,-6.35,-6.99,-7.19,-6.87,-8.99,0.02
63.29,-1.47,3.4,1.08,-20.67,-2.15,-19.08,-10.45,-10.3,-4.85,-4.46,0.06,2299.59,6001248,3478.33,1.28,0.08,2.75,33.64,-0.68,-0.73,-0.75,-0.74,-0.77,-0.75,-8.31,-6.24,-6.99,-7.14,-6.76,-8.92,0.02
68.17,-1.57,3.46,0.8,-21.45,-2.55,-18.31,-7.73,-9.52,-4.77,-4.27,-0.18,2167.88,5304068,3265.87,1.3,0.08,2.95,33.96,-0.67,-0.72,-0.75,-0.73,-0.78,-0.74,-8.17,-6.22,-6.97,-7.14,-6.75,-9.01,0.02
74.78,-2.56,2.96,0.63,-19.56,-1.28,-16.98,-7.16,-10.66,-5.42,-3.75,-1.06,2013.34,5442192,3018.95,1.32,0.09,2.99,32.8,-0.67,-0.71,-0.74,-0.72,-0.78,-0.74,-8.02,-6.18,-7.01,-7.15,-6.82,-9.06,0.02
80.15,-2.67,2.58,1.01,-17.87,1.12,-14.34,-6.59,-10.7,-5.59,-4.09,-1.35,1922.75,5439757,2850.52,1.35,0.08,3.13,30.44,-0.68,-0.7,-0.73,-0.72,-0.77,-0.74,-7.97,-6.25,-7.15,-7.25,-6.95,-9.2,0.03
85.54,-3.08,1.95,1.61,-17.58,0.15,-14.24,-6.05,-10.33,-5.8,-4.38,-1.66,1817.18,5473381.5,2572.5,1.4,0.08,3.36,30.04,-0.67,-0.69,-0.73,-0.72,-0.77,-0.74,-7.89,-6.21,-7.09,-7.22,-6.97,-9.24,0.03
92.15,-2.7,2.34,1.56,-16.54,2.96,-12.84,-5.74,-10.15,-6.19,-4.16,-1.18,1698.15,5649127,2243.28,1.41,0.08,3.35,27.31,-0.68,-0.68,-0.72,-0.72,-0.77,-0.74,-7.83,-6.27,-7.24,-7.35,-7.11,-9.4,0.03
97.72,-3.15,2.23,2.19,-17.38,4.1,-11.51,-4.49,-8.82,-5.83,-3.96,-0.66,1639.04,5030778.5,2041.35,1.49,0.08,3.83,26.62,-0.68,-0.69,-0.72,-0.71,-0.77,-0.74,-7.77,-6.25,-7.26,-7.31,-7.11,-9.52,0.03
103.24,-2.63,2.61,2.8,-16.74,4.82,-11.05,-4.58,-8.19,-4.75,-2.87,0.17,1540.92,5181864,1829.36,1.51,0.08,3.88,23.98,-0.69,-0.69,-0.72,-0.72,-0.78,-0.75,-7.75,-6.27,-7.33,-7.4,-7.23,-9.63,0.03
104.42,-2.97,1.83,2.42,-13.94,5.34,-9.36,-5.15,-7.32,-4.43,-3.13,-0.16,1524.87,5221191,2017.9,1.55,0.08,3.99,22.84,-0.7,-0.69,-0.72,-0.73,-0.78,-0.76,-7.64,-6.28,-7.34,-7.42,-7.22,-9.61,0.03
102.86,-1.88,2.38,2.49,-13.56,4.69,-9.44,-6.55,-7.92,-4.43,-3.5,1.14,1527.53,5017673,2020.29,1.54,0.08,3.93,23.24,-0.7,-0.7,-0.73,-0.74,-0.78,-0.76,-7.68,-6.23,-7.28,-7.34,-7.21,-9.58,0.03
100.34,-0.95,2.77,2.57,-15.18,2.93,-10.72,-7.76,-8.21,-5.52,-5.28,1.08,1583.44,5113866,2146.14,1.58,0.08,4.17,24.24,-0.7,-0.7,-0.73,-0.75,-0.78,-0.76,-7.8,-6.19,-7.25,-7.29,-7.13,-9.54,0.03
97.17,-1.36,2.61,2.52,-16.83,1.01,-13.64,-9.78,-9.02,-5.72,-5.96,0.9,1612.45,5347746,2238.5,1.57,0.08,4.21,24.91,-0.69,-0.7,-0.73,-0.76,-0.79,-0.76,-7.96,-6.22,-7.19,-7.28,-7.13,-9.52,0.03
95.03,-0.87,2.6,2.51,-17.96,-0.47,-15.82,-11.7,-9.93,-4.88,-5.58,1.55,1622.21,5483924.5,2246.15,1.55,0.08,4,25.02,-0.69,-0.71,-0.73,-0.77,-0.79,-0.77,-8.19,-6.22,-7.15,-7.29,-7.13,-9.53,0.03
92.32,-0.73,2.76,2.35,-19.99,-2.66,-18.08,-13.97,-10.3,-4.56,-5.74,1.98,1676.75,5550315,2343.77,1.54,0.09,3.95,29.36,-0.68,-0.71,-0.73,-0.77,-0.79,-0.77,-8.11,-6.06,-6.91,-7.13,-6.93,-9.33,0.03
90.05,-1.14,2.71,2.31,-21.46,-3.03,-18.86,-14.47,-9.87,-4.13,-6.21,1.54,1716.73,5571615.5,2430.38,1.54,0.09,3.93,31.2,-0.68,-0.72,-0.74,-0.78,-0.79,-0.77,-8.13,-6.04,-6.83,-7.06,-6.88,-9.31,0.03
88.61,-0.63,2.55,1.82,-22.77,-2.2,-19.09,-15.87,-11.33,-4.63,-7,1.86,1770.75,5123150,2509.81,1.54,0.08,4.06,31.87,-0.68,-0.73,-0.75,-0.79,-0.79,-0.77,-8.19,-6.04,-6.8,-7.07,-6.83,-9.35,0.03
87,-0.89,2.19,2.27,-23.99,-3.79,-19.66,-16.37,-11.82,-4.91,-8.15,0.99,1775.04,5149214.5,2535.18,1.54,0.08,4.05,32.78,-0.66,-0.73,-0.76,-0.79,-0.79,-0.77,-8.26,-6.01,-6.71,-7.01,-6.82,-9.32,0.03
88.74,-1.36,1.14,1.74,-20.98,-3.82,-18.71,-16.79,-11.16,-3.4,-6.85,0.98,1733.69,5555543,2442.82,1.55,0.09,4.03,34.78,-0.65,-0.73,-0.76,-0.8,-0.79,-0.77,-8.17,-5.94,-6.53,-6.94,-6.77,-9.2,0.02
90.33,-1.57,0.36,1.45,-21.15,-3.03,-16.94,-14.96,-10.19,-2.76,-6.22,1.2,1733.69,5241903.5,2481.58,1.57,0.09,4.16,36.73,-0.65,-0.74,-0.76,-0.8,-0.79,-0.77,-8,-5.87,-6.45,-6.83,-6.71,-9.16,0.03
95.44,-1.9,0.19,2.14,-22.63,-2.32,-15.84,-13.43,-9.01,-1.2,-6.37,0.12,1671.64,5384338,2125.09,1.59,0.1,4.26,35.96,-0.64,-0.73,-0.75,-0.79,-0.79,-0.77,-7.93,-5.93,-6.41,-6.86,-6.76,-9.26,0.03
100.01,-1.91,0.1,2.24,-20.89,-2.01,-15.3,-12.08,-8.13,-0.42,-5.42,-0.12,1593.27,4952640.5,1925.07,1.65,0.09,4.59,33.11,-0.64,-0.74,-0.75,-0.8,-0.79,-0.77,-7.92,-5.98,-6.49,-6.94,-6.88,-9.41,0.03
105.41,-1.42,0.3,2.72,-19.23,-1.07,-13.38,-10.5,-6.35,1.04,-4.02,0.36,1484.48,4844017.5,1759.98,1.69,0.08,4.76,31.11,-0.65,-0.74,-0.76,-0.8,-0.8,-0.78,-7.78,-6.02,-6.48,-7.01,-6.96,-9.52,0.02
108.69,-0.8,0.13,2.99,-18.11,-0.57,-11.67,-10.76,-6.06,1.18,-2.98,0.4,1449.22,4719365,1665.23,1.77,0.08,5.24,29.2,-0.65,-0.73,-0.76,-0.8,-0.8,-0.78,-7.78,-6.12,-6.52,-7.06,-7.06,-9.63,0.03
111.58,-0.26,0.87,4.61,-16.07,-0.31,-8.9,-9.12,-4.72,1.52,-2.29,0.22,1389.61,5062575.5,1555.18,1.8,0.09,5.08,31.24,-0.65,-0.72,-0.75,-0.8,-0.79,-0.78,-7.55,-6.04,-6.45,-6.93,-6.99,-9.49,0.03
114.81,0.59,1.97,5.98,-12.5,1.32,-5.54,-7.32,-3.65,1.46,-1.56,0.89,1323.14,5400279,1482.92,1.83,0.1,5.14,30.89,-0.66,-0.72,-0.76,-0.8,-0.79,-0.78,-7.31,-5.96,-6.45,-6.92,-6.99,-9.47,0.03
118.55,1.51,2.74,6.78,-11.46,1.31,-3.93,-6.02,-2.91,2.48,0.03,1.47,1288.81,5296002.5,1423.24,1.85,0.1,5.2,29.64,-0.67,-0.71,-0.76,-0.8,-0.8,-0.79,-7.2,-6.01,-6.45,-6.9,-7.03,-9.46,0.02
120.99,2.07,3.26,7.02,-9.1,1.31,-2.84,-4.86,-1.33,3.81,1.04,1.71,1242.31,5415353.5,1344.13,1.88,0.1,5.31,28.71,-0.67,-0.72,-0.75,-0.8,-0.8,-0.79,-7.08,-6.01,-6.46,-6.92,-7.08,-9.48,0.03
122.44,2.51,3.54,7.57,-6.95,2.21,-1.27,-3.7,0.15,5.33,2.63,2.19,1225.55,5551342.5,1307.19,1.91,0.1,5.42,27.35,-0.69,-0.71,-0.75,-0.8,-0.8,-0.79,-6.99,-6.11,-6.52,-7,-7.16,-9.53,0.03
122.5,2.52,4.22,8.74,-6.5,2.03,-1.06,-3.48,0.07,4.89,1.26,1.4,1205.25,5621726,1297.02,1.9,0.1,5.26,25.6,-0.69,-0.71,-0.76,-0.8,-0.8,-0.79,-7.05,-6.16,-6.57,-7.06,-7.24,-9.6,0.03
