alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Visual),Response
3.75,0.27,3.93,5.05,3.62,-0.03,Sad,Sad
3.49,0.29,3.85,4.65,3.62,-0.02,Sad,Sad
3.01,0.33,3.88,3.79,3.69,0.01,Sad,Sad
3.04,0.33,3.94,3.11,3.61,0.04,Sad,Sad
3.33,0.3,3.92,3.13,3.49,0.03,Sad,Sad
3.4,0.29,4.11,3.07,3.6,0.03,Sad,Sad
3.55,0.28,4.05,3.22,3.62,0.04,Sad,Sad
3.88,0.26,5.3,3.66,3.71,0.04,Sad,Sad
4.89,0.2,5.45,4.97,3.62,0.06,Sad,Sad
5.54,0.18,5.46,5.88,3.61,0.05,Sad,Sad
5.66,0.18,5.45,6.14,3.58,0.04,Sad,Sad
5.68,0.18,5.46,6.2,3.66,0.04,Sad,Sad
5.69,0.18,5.46,6.34,3.54,0.04,Sad,Sad
5.71,0.18,5.45,6.49,3.53,0.04,Sad,Sad
5.71,0.18,5.43,6.55,3.52,0.04,Sad,Sad
5.71,0.18,5.4,6.55,3.42,0.04,Sad,Sad
5.71,0.18,5.39,6.57,3.24,0.04,Sad,Sad
5.69,0.18,5.25,6.58,2.99,0.04,Sad,Sad
5.56,0.18,4.22,6.55,2.8,0.04,Sad,Sad
5.02,0.2,3.64,6.27,2.7,0.04,Sad,Sad
4.2,0.24,3.58,6,2.66,0.04,Sad,Sad
3.7,0.27,3.53,5.97,2.69,0.04,Sad,Sad
3.61,0.28,3.42,5.91,2.6,0.04,Sad,Sad
3.46,0.29,3.42,5.72,2.65,0.05,Sad,Sad
3.24,0.31,3.4,5.45,2.65,0.07,Sad,Sad
2.97,0.34,3.42,5.36,2.65,0.1,Sad,Sad
2.77,0.36,3.5,5.31,2.7,0.14,Sad,Sad
2.72,0.37,3.51,5.23,2.59,0.16,Sad,Sad
2.78,0.36,3.24,5.22,2.67,0.13,Sad,Sad
2.74,0.37,3.46,5.15,2.84,0.1,Sad,Sad
2.72,0.37,3.44,5,2.91,0.11,Sad,Sad
2.9,0.35,3.65,4.89,2.86,0.12,Sad,Sad
3.01,0.33,3.61,4.89,2.81,0.12,Sad,Sad
3.12,0.32,3.6,4.89,2.67,0.11,Sad,Sad
3.12,0.32,3.57,4.75,2.7,0.11,Sad,Sad
3.12,0.32,3.56,4.6,2.74,0.12,Sad,Sad
3.1,0.32,3.52,4.54,2.89,0.11,Sad,Sad
3.08,0.32,3.31,4.54,2.82,0.1,Sad,Sad
3.07,0.33,3.32,4.51,2.89,0.1,Sad,Sad
2.99,0.33,3.15,4.48,2.86,0.13,Sad,Sad
2.98,0.34,3.04,4.49,2.86,0.15,Sad,Sad
2.89,0.35,2.94,4.23,2.78,0.12,Sad,Sad
2.68,0.37,2.96,3.73,2.97,0.09,Sad,Sad
2.34,0.43,3.04,3.5,3.06,0.03,Sad,Sad
2.3,0.44,3.25,3.57,3.27,-0.04,Sad,Sad
2.33,0.43,3.66,3.57,3.26,-0.03,Sad,Sad
2.74,0.37,3.73,3.49,3.31,0.03,Sad,Sad
3.03,0.33,3.82,3.58,3.28,0.03,Sad,Sad
3.1,0.32,3.81,3.99,3.28,0.03,Sad,Sad
3.13,0.32,3.85,4.49,3.25,0.02,Sad,Sad
3.24,0.31,3.89,4.7,3.16,0,Sad,Sad
3.36,0.3,3.9,4.74,3.59,-0.02,Sad,Sad
3.48,0.29,3.87,4.8,3.65,-0.03,Sad,Sad
3.64,0.27,3.9,5.11,3.59,-0.04,Sad,Sad
3.67,0.27,3.89,5.46,3.74,-0.04,Sad,Sad
3.67,0.27,3.79,5.64,3.74,-0.04,Sad,Sad
3.62,0.28,3.46,5.68,3.75,-0.05,Sad,Sad
3.45,0.29,3.48,5.67,3.74,-0.08,Sad,Sad
3.4,0.29,3.62,5.66,3.77,-0.1,Sad,Sad
3.39,0.3,3.64,5.58,3.78,-0.1,Sad,Sad
3.32,0.3,3.78,5.47,3.79,-0.1,Sad,Sad
3.24,0.31,3.77,5.39,3.76,-0.1,Sad,Sad
3.06,0.33,3.77,5.36,3.55,-0.1,Sad,Sad
2.79,0.36,3.75,5.28,3.57,-0.11,Sad,Sad
2.47,0.41,3.71,4.89,3.41,-0.1,Sad,Sad
2.57,0.39,3.73,4.09,3.14,-0.04,Sad,Sad
2.88,0.35,3.76,3.84,3.13,-0.01,Sad,Sad
2.98,0.34,3.92,4.29,3.1,0.01,Sad,Sad
2.91,0.34,3.82,4.45,3.14,0.01,Sad,Sad
2.81,0.36,3.75,4.43,3.22,0.01,Sad,Sad
2.85,0.35,3.67,4.44,3.32,0.01,Sad,Sad
2.94,0.34,3.79,4.5,3.4,0.01,Sad,Sad
2.98,0.34,3.86,4.54,3.33,0.01,Sad,Sad
2.96,0.34,3.92,4.56,3.39,0.02,Sad,Sad
2.93,0.34,4.09,4.56,3.42,0.03,Sad,Sad
2.88,0.35,4.27,4.55,3.49,0.03,Sad,Sad
2.65,0.38,4.26,4.41,3.51,0.03,Sad,Sad
2.26,0.44,4.24,3.95,3.45,0.01,Sad,Sad
2.19,0.46,4.13,3.51,3.41,-0.07,Sad,Sad
2.19,0.46,4.11,3.61,3.36,-0.05,Sad,Sad
2.39,0.42,4.14,3.57,3.34,0,Sad,Sad
2.63,0.38,4.11,3.63,3.25,0.01,Sad,Sad
2.69,0.37,4.07,4.07,3.21,0.01,Sad,Sad
2.9,0.34,4.35,4.68,3.26,0.03,Sad,Sad
3.51,0.28,4.36,5.06,3.16,0.07,Sad,Sad
3.76,0.27,4.12,5.16,3.15,0.07,Sad,Sad
3.76,0.27,4.06,5.16,3.28,0.06,Sad,Sad
3.74,0.27,4.13,5.21,3.51,0.06,Sad,Sad
3.75,0.27,4.29,5.25,3.5,0.06,Sad,Sad
3.82,0.26,4.41,5.23,3.59,0.06,Sad,Sad
3.89,0.26,4.41,5.2,3.63,0.06,Sad,Sad
3.82,0.26,4.46,5.2,3.55,0.07,Sad,Sad
3.82,0.26,4.52,5.12,3.68,0.07,Sad,Sad
3.96,0.25,4.49,4.91,3.67,0.05,Sad,Sad
3.82,0.26,4.33,4.57,3.73,0.03,Sad,Sad
3.48,0.29,4.36,4.15,3.79,0.01,Sad,Sad
3.36,0.3,4.36,4.08,3.7,0.01,Sad,Sad
3.39,0.3,4.29,4.12,3.77,0.01,Sad,Sad
3.42,0.29,4.34,4.03,3.85,0.01,Sad,Sad
3.36,0.3,4.36,4.07,4.05,-0.01,Sad,Sad
3.27,0.31,4.38,4.14,4.4,-0.03,Sad,Sad
3.37,0.3,3.96,3.9,3.94,0.05,Agressive,Agressive
3.46,0.29,3.93,3.97,3.75,0.05,Agressive,Agressive
3.48,0.29,3.7,3.93,3.72,0.04,Agressive,Agressive
3.35,0.3,3.75,3.77,3.76,0.04,Agressive,Agressive
3.17,0.32,3.85,3.85,3.58,0.04,Agressive,Agressive
3.24,0.31,3.91,3.97,3.51,0.03,Agressive,Agressive
3.42,0.29,3.79,3.88,3.42,0.02,Agressive,Agressive
3.44,0.29,3.74,3.89,3.44,0.01,Agressive,Agressive
3.42,0.29,3.78,3.98,3.4,-0.02,Agressive,Agressive
3.49,0.29,3.72,4,3.35,-0.02,Agressive,Agressive
3.49,0.29,3.74,3.99,3.26,-0.03,Agressive,Agressive
3.42,0.29,3.79,3.99,3.3,-0.04,Agressive,Agressive
3.4,0.29,3.9,3.98,3.63,-0.05,Agressive,Agressive
3.43,0.29,4.03,3.99,3.62,-0.06,Agressive,Agressive
3.48,0.29,3.88,4.29,3.56,-0.06,Agressive,Agressive
3.8,0.26,3.86,4.66,3.57,-0.08,Agressive,Agressive
3.85,0.26,3.84,4.79,3.58,-0.1,Agressive,Agressive
3.72,0.27,3.83,4.8,3.64,-0.09,Agressive,Agressive
3.68,0.27,3.84,4.94,3.67,-0.07,Agressive,Agressive
3.78,0.26,3.81,5.28,3.7,-0.06,Agressive,Agressive
3.96,0.25,3.88,5.61,3.76,-0.03,Agressive,Agressive
4.12,0.24,4.04,5.79,3.93,-0.02,Agressive,Agressive
4.15,0.24,4.14,5.85,3.87,-0.02,Agressive,Agressive
4.13,0.24,4.34,5.85,3.95,-0.01,Agressive,Agressive
4.18,0.24,4.57,5.88,3.99,-0.01,Agressive,Agressive
4.09,0.24,5.06,5.97,4.58,0,Agressive,Agressive
4.14,0.24,5.08,6.01,4.66,0,Agressive,Agressive
4.52,0.22,5.18,5.98,4.88,-0.01,Agressive,Agressive
4.94,0.2,5.25,5.97,4.93,-0.01,Agressive,Agressive
5.16,0.19,5.57,5.91,5.01,-0.01,Agressive,Agressive
5.22,0.19,5.62,5.78,5.1,-0.01,Agressive,Agressive
5.44,0.18,5.65,5.55,5.17,-0.01,Agressive,Agressive
5.86,0.17,5.88,5.43,5.22,0.01,Agressive,Agressive
6.23,0.16,5.9,5.53,5.28,0.02,Agressive,Agressive
6.44,0.16,5.8,5.69,5.23,0.03,Agressive,Agressive
6.5,0.15,5.73,5.62,5.03,0.04,Agressive,Agressive
6.5,0.15,5.54,5.8,4.96,0.04,Agressive,Agressive
6.48,0.15,5.62,5.91,4.93,0.04,Agressive,Agressive
6.48,0.15,5.58,5.95,4.75,0.04,Agressive,Agressive
6.46,0.15,5.35,6.18,4.63,0.05,Agressive,Agressive
6.48,0.15,5.22,6.28,4.59,0.05,Agressive,Agressive
6.43,0.16,5.24,6.37,4.34,0.06,Agressive,Agressive
6.34,0.16,5.14,6.64,4.4,0.06,Agressive,Agressive
6.11,0.16,4.63,6.8,4.03,0.07,Agressive,Agressive
5.63,0.18,4.71,6.82,4.05,0.06,Agressive,Agressive
5.21,0.19,4.79,6.87,4.07,0.05,Agressive,Agressive
5.18,0.19,4.83,6.89,4.03,0.04,Agressive,Agressive
5.36,0.19,4.75,6.79,3.89,0.03,Agressive,Agressive
5.53,0.18,4.61,6.81,3.89,0.03,Agressive,Agressive
5.46,0.18,4.54,6.81,3.88,0.04,Agressive,Agressive
5.29,0.19,4.61,6.7,3.89,0.04,Agressive,Agressive
5.25,0.19,4.59,6.64,3.99,0.03,Agressive,Agressive
5.26,0.19,4.35,6.44,4.04,0.03,Agressive,Agressive
5.19,0.19,4.3,6.03,3.84,0.03,Agressive,Agressive
5.11,0.2,4.19,5.75,3.91,0.03,Agressive,Agressive
5.08,0.2,3.91,5.62,3.78,0.03,Agressive,Agressive
5.08,0.2,3.98,5.35,3.74,0.03,Agressive,Agressive
4.98,0.2,3.91,5.28,3.75,0.03,Agressive,Agressive
4.5,0.22,3.95,4.76,3.78,0.04,Agressive,Agressive
4.05,0.25,4.03,4,3.75,0.05,Agressive,Agressive
3.7,0.27,4.15,3.81,3.82,0.06,Agressive,Agressive
3.28,0.3,3.99,3.97,3.84,0.09,Agressive,Agressive
3.06,0.33,4.12,4.36,3.62,0.1,Agressive,Agressive
3.49,0.29,4.13,4.55,3.58,0.06,Agressive,Agressive
3.72,0.27,4.11,4.53,3.52,0.06,Agressive,Agressive
3.73,0.27,4.09,4.52,3.4,0.07,Agressive,Agressive
3.67,0.27,4.09,4.52,3.48,0.06,Agressive,Agressive
3.58,0.28,4.02,4.49,3.45,0.05,Agressive,Agressive
3.6,0.28,4,4.5,3.45,0.05,Agressive,Agressive
3.62,0.28,4.03,4.55,3.59,0.04,Agressive,Agressive
3.6,0.28,4.13,4.64,3.48,0.04,Agressive,Agressive
3.61,0.28,3.96,4.76,3.36,0.03,Agressive,Agressive
3.66,0.27,3.91,4.7,3.32,0.03,Agressive,Agressive
3.56,0.28,3.78,4.49,3.38,0.05,Agressive,Agressive
3.08,0.32,3.81,4.46,3.4,0.07,Agressive,Agressive
2.64,0.38,3.93,4.41,3.65,0.1,Agressive,Agressive
2.66,0.38,4.36,4.57,5.17,0.1,Agressive,Agressive
2.77,0.36,6.81,5.24,6.06,0.07,Agressive,Agressive
2.95,0.34,7.01,5.82,6.23,0.03,Agressive,Agressive
2.95,0.34,7.26,6.18,6.32,0.04,Agressive,Agressive
3.09,0.32,7.44,6.3,6.39,0.07,Agressive,Agressive
3.25,0.31,7.47,6.28,6.54,0.05,Agressive,Agressive
3.53,0.28,7.62,6.25,6.66,0.05,Agressive,Agressive
3.63,0.28,7.73,6.25,6.84,0.05,Agressive,Agressive
3.88,0.26,7.76,6.25,6.97,0.05,Agressive,Agressive
4.29,0.23,7.78,6.25,7,0.03,Agressive,Agressive
4.88,0.2,7.8,6.25,7.03,0.01,Agressive,Agressive
5.3,0.19,7.87,6.19,6.87,0.01,Agressive,Agressive
5.52,0.18,7.56,6.01,6.72,0.01,Agressive,Agressive
5.64,0.18,7.56,5.64,6.67,0.01,Agressive,Agressive
5.67,0.18,7.45,5.04,6.7,0,Agressive,Agressive
5.78,0.17,7.43,4.61,6.68,0,Agressive,Agressive
5.99,0.17,7.48,4.58,6.62,0,Agressive,Agressive
6.12,0.16,7.33,4.58,6.51,0,Agressive,Agressive
6.17,0.16,7.23,4.57,6.23,0,Agressive,Agressive
6.16,0.16,7.23,4.65,6.11,-0.01,Agressive,Agressive
6.07,0.16,7.23,4.74,6.19,-0.01,Agressive,Agressive
5.9,0.17,7.05,4.86,6.03,-0.01,Agressive,Agressive
5.74,0.17,6.9,4.77,5.98,-0.01,Agressive,Agressive
5.66,0.18,6.81,4.49,5.86,-0.01,Agressive,Agressive
5.6,0.18,6.62,4.23,5.72,-0.01,Agressive,Agressive
5.56,0.18,6.28,4.3,5.43,-0.01,Agressive,Agressive
5.34,0.19,5.97,4.71,5.24,-0.02,Agressive,Agressive
4.84,0.21,5.62,4.94,5,-0.02,Agressive,Agressive
4.5,0.22,5.32,5.06,4.88,-0.01,Agressive,Agressive
4.43,0.23,5.3,5.3,4.78,0,Agressive,Agressive
4.42,0.23,5.29,5.69,4.6,0.01,Agressive,Agressive
3.11,0.32,3.68,3.59,3.23,-0.02,Happy,Happy
2.75,0.36,3.57,3.73,3.23,-0.01,Happy,Happy
2.45,0.41,3.56,3.95,3.45,0.02,Happy,Happy
2.51,0.4,3.63,4.12,3.78,0.03,Happy,Happy
2.8,0.36,3.55,4.39,3.9,0.04,Happy,Happy
3.07,0.33,3.79,4.94,4,0.06,Happy,Happy
3.31,0.3,3.95,5.3,4.18,0.06,Happy,Happy
3.57,0.28,4.07,5.4,4.3,0.05,Happy,Happy
3.8,0.26,4.29,5.43,4.29,0.05,Happy,Happy
4.01,0.25,4.72,5.41,4.29,0.05,Happy,Happy
4.04,0.25,4.79,5.41,4.35,0.06,Happy,Happy
4.05,0.25,4.86,5.39,4.39,0.06,Happy,Happy
4.06,0.25,5.54,5.36,4.72,0.06,Happy,Happy
4.07,0.25,5.65,5.33,4.66,0.06,Happy,Happy
4.1,0.24,5.99,5.3,4.78,0.05,Happy,Happy
4.15,0.24,6.25,5.17,4.89,0.04,Happy,Happy
4.23,0.24,6.34,4.75,5.15,0.02,Happy,Happy
4.53,0.22,6.39,4.94,5.57,0.03,Happy,Happy
4.86,0.21,6.46,5.33,5.64,0.04,Happy,Happy
5.12,0.2,6.53,5.41,5.74,0.03,Happy,Happy
5.22,0.19,6.49,5.41,5.84,0.03,Happy,Happy
5.25,0.19,6.68,5.43,6.07,0.03,Happy,Happy
5.45,0.18,6.69,5.46,6.07,0.02,Happy,Happy
5.8,0.17,6.55,5.73,6.03,0.01,Happy,Happy
5.97,0.17,6.51,5.86,6,0.01,Happy,Happy
6,0.17,6.41,5.88,5.99,0.01,Happy,Happy
5.99,0.17,6.18,5.86,5.93,0.01,Happy,Happy
5.97,0.17,6.2,5.78,5.73,0.01,Happy,Happy
5.85,0.17,6.16,5.61,5.53,0.01,Happy,Happy
5.7,0.18,6.04,5.33,5.42,0.01,Happy,Happy
5.6,0.18,5.96,5.23,5.27,0,Happy,Happy
5.56,0.18,5.98,5.26,4.86,0,Happy,Happy
5.54,0.18,5.6,5.32,4.56,0,Happy,Happy
5.32,0.19,5.53,5.28,4.5,0,Happy,Happy
4.76,0.21,5.52,5.07,4.47,0.01,Happy,Happy
4.13,0.24,5.46,5.02,4.46,0.01,Happy,Happy
3.91,0.26,5.22,5.09,4.45,0.02,Happy,Happy
3.91,0.26,5.29,5.1,4.32,0.02,Happy,Happy
3.97,0.25,5.14,5.07,4.31,0.02,Happy,Happy
4.08,0.25,5.07,5.14,4.2,0.02,Happy,Happy
4.04,0.25,4.94,5.24,4.15,0.01,Happy,Happy
3.88,0.26,4.96,5.24,3.95,0.01,Happy,Happy
3.73,0.27,4.86,5.2,3.93,0.01,Happy,Happy
3.64,0.27,4.79,5.32,3.91,0,Happy,Happy
3.86,0.26,4.76,5.38,4.01,0,Happy,Happy
4.13,0.24,4.72,5.29,4.07,0.01,Happy,Happy
4.26,0.23,4.7,5.17,4.08,0,Happy,Happy
4.28,0.23,4.62,5.13,4.27,0,Happy,Happy
4.3,0.23,4.3,5.18,4.28,0,Happy,Happy
4.31,0.23,4.3,5.12,4.41,0,Happy,Happy
4.29,0.23,4.44,5.03,4.52,0,Happy,Happy
4.3,0.23,4.56,4.93,4.52,0,Happy,Happy
4.26,0.23,4.41,4.9,4.61,0,Happy,Happy
4.25,0.24,4.41,4.93,4.67,-0.01,Happy,Happy
4.16,0.24,4.43,4.73,4.66,-0.01,Happy,Happy
3.83,0.26,4.45,4.91,4.51,-0.03,Happy,Happy
3.51,0.28,4.48,5.29,4.49,-0.04,Happy,Happy
3.5,0.29,4.52,5.37,4.41,-0.02,Happy,Happy
3.56,0.28,4.4,5.32,4.28,0,Happy,Happy
3.58,0.28,4.4,5.39,4.17,0.02,Happy,Happy
3.54,0.28,4.3,5.52,4.07,0.04,Happy,Happy
3.47,0.29,4.1,5.55,3.86,0.06,Happy,Happy
3.46,0.29,3.98,5.55,3.86,0.06,Happy,Happy
3.46,0.29,3.96,5.55,3.63,0.06,Happy,Happy
3.46,0.29,3.8,5.52,3.69,0.06,Happy,Happy
3.42,0.29,3.87,5.4,3.65,0.07,Happy,Happy
3.32,0.3,3.91,5.04,3.61,0.08,Happy,Happy
3.26,0.31,3.86,4.55,3.67,0.07,Happy,Happy
3.15,0.32,3.84,4.39,3.53,0.07,Happy,Happy
2.97,0.34,3.84,4.36,3.45,0.06,Happy,Happy
2.73,0.37,3.96,4,3.54,0,Happy,Happy
2.95,0.34,4.09,3.51,3.58,-0.04,Happy,Happy
3.21,0.31,4.06,3.55,3.58,-0.02,Happy,Happy
3.24,0.31,5.42,3.68,4.79,-0.02,Happy,Happy
3.58,0.28,5.45,3.99,4.72,-0.02,Happy,Happy
4.31,0.23,5.47,5.02,4.84,-0.01,Happy,Happy
4.63,0.22,5.48,5.63,4.89,0,Happy,Happy
4.65,0.21,5.48,5.81,4.89,0,Happy,Happy
4.67,0.21,5.48,5.91,4.88,0,Happy,Happy
4.68,0.21,5.49,6.01,4.9,0,Happy,Happy
4.73,0.21,5.52,6.02,4.93,0,Happy,Happy
4.75,0.21,5.52,6.02,4.93,0,Happy,Happy
4.68,0.21,5.51,6.04,4.93,0,Happy,Happy
4.67,0.21,5.48,6.08,4.81,-0.01,Happy,Happy
4.68,0.21,4.25,6.15,4.04,-0.01,Happy,Happy
4.46,0.22,4.22,6.17,4.04,-0.01,Happy,Happy
3.98,0.25,4.12,5.94,3.67,-0.02,Happy,Happy
3.7,0.27,4.16,5.64,3.64,-0.04,Happy,Happy
3.69,0.27,4.17,5.53,3.62,-0.04,Happy,Happy
3.75,0.27,4.23,5.51,3.59,-0.03,Happy,Happy
3.82,0.26,4.14,5.57,3.62,-0.02,Happy,Happy
3.67,0.27,4.16,5.65,3.56,-0.01,Happy,Happy
3.51,0.29,4.27,5.65,3.47,-0.02,Happy,Happy
3.52,0.28,4.29,5.59,3.43,-0.01,Happy,Happy
3.58,0.28,4.41,5.47,3.3,-0.01,Happy,Happy
3.66,0.27,4.4,5.35,3.35,0,Happy,Happy
3.61,0.28,4.45,5.17,3.37,0.01,Happy,Happy
3.54,0.28,4.53,4.99,3.38,0.02,Happy,Happy
3.54,0.28,4.41,4.9,3.33,0.02,Happy,Happy
3.47,0.29,4.49,4.77,3.36,0.03,Happy,Happy
3.37,0.3,4.56,4.48,3.39,0.02,Happy,Happy
3.33,0.3,4.67,4.2,3.22,0.01,Happy,Happy
3.3,0.3,4.52,4.14,3.19,0.01,Happy,Happy
3.34,0.3,4.4,4.19,3.24,0.01,Happy,Happy
3.38,0.3,4.25,4.2,3.31,0.01,Happy,Happy
3.31,0.3,4.25,4.17,3.41,0.01,Happy,Happy
3.1,0.32,4.21,4.18,3.44,0,Happy,Happy
5.24,0.19,8.14,4.21,7.41,0,Agressive,Agressive
5.28,0.19,8.1,4.27,7.5,0,Agressive,Agressive
5.28,0.19,8.06,4.29,7.47,0,Agressive,Agressive
5.23,0.19,8,4.27,7.39,0,Agressive,Agressive
5.14,0.19,7.95,4.29,7.41,0,Agressive,Agressive
5.24,0.19,7.76,4.3,7.46,0,Agressive,Agressive
5.31,0.19,7.66,4.21,7.47,0,Agressive,Agressive
5.28,0.19,7.66,3.94,7.41,0,Agressive,Agressive
5.33,0.19,7.49,3.67,7.35,0,Agressive,Agressive
5.28,0.19,7.14,3.38,7.29,0,Agressive,Agressive
5.19,0.19,7.13,3.15,6.9,0,Agressive,Agressive
5.23,0.19,6.93,3.12,6.86,0,Agressive,Agressive
5.17,0.19,6.92,2.8,6.62,-0.01,Agressive,Agressive
5.04,0.2,6.87,2.83,6.75,-0.01,Agressive,Agressive
5.17,0.19,6.87,4.28,6.72,-0.01,Agressive,Agressive
5.34,0.19,6.65,5.56,6.56,0,Agressive,Agressive
5.26,0.19,6.46,5.82,6.55,0,Agressive,Agressive
5.34,0.19,6.31,5.94,6.36,0,Agressive,Agressive
5.45,0.18,6.25,6.16,6.31,0,Agressive,Agressive
5.48,0.18,6.21,6.27,6.18,0,Agressive,Agressive
5.49,0.18,6.14,6.29,6.05,0,Agressive,Agressive
5.48,0.18,5.96,6.32,6.02,0,Agressive,Agressive
5.48,0.18,5.78,6.37,5.93,0,Agressive,Agressive
5.49,0.18,5.5,6.41,5.76,0,Agressive,Agressive
5.41,0.18,5.42,6.39,5.61,0,Agressive,Agressive
5.17,0.19,5.35,6.16,5.57,0,Agressive,Agressive
5.03,0.2,5.33,5.77,5.56,0,Agressive,Agressive
4.93,0.2,5.31,5.79,5.57,-0.01,Agressive,Agressive
4.7,0.21,5.43,5.72,5.59,0.01,Agressive,Agressive
4.23,0.24,5.48,5.38,5.57,0.02,Agressive,Agressive
3.88,0.26,5.49,5.1,5.55,0,Agressive,Agressive
3.65,0.27,5.45,5.04,5.52,-0.01,Agressive,Agressive
3.4,0.29,5.46,4.96,5.38,0.01,Agressive,Agressive
3.12,0.32,5.52,4.84,5.46,0.01,Agressive,Agressive
2.91,0.34,5.55,4.86,5.36,-0.02,Agressive,Agressive
2.98,0.34,5.44,4.9,5.23,-0.01,Agressive,Agressive
3.26,0.31,5.46,4.89,5.26,0.01,Agressive,Agressive
3.24,0.31,5.46,4.77,5.32,0.02,Agressive,Agressive
3.23,0.31,5.45,4.56,5.28,0.02,Agressive,Agressive
3.18,0.31,5.36,4.37,5.29,0,Agressive,Agressive
3.12,0.32,5.33,4.31,5.42,0,Agressive,Agressive
3.18,0.31,5.42,4.38,5.36,-0.01,Agressive,Agressive
3.45,0.29,5.49,4.59,5.41,-0.02,Agressive,Agressive
3.64,0.27,5.46,4.74,5.39,-0.01,Agressive,Agressive
3.69,0.27,5.34,4.7,5.34,-0.01,Agressive,Agressive
3.69,0.27,5.32,4.54,5.32,-0.02,Agressive,Agressive
3.54,0.28,5.19,4.39,5.26,-0.03,Agressive,Agressive
3.44,0.29,5,4.34,5.17,-0.04,Agressive,Agressive
3.45,0.29,4.98,4.32,4.86,-0.05,Agressive,Agressive
3.39,0.3,4.8,4.36,4.82,-0.05,Agressive,Agressive
3.32,0.3,4.77,4.43,4.79,-0.05,Agressive,Agressive
3.29,0.3,4.6,4.39,4.77,-0.05,Agressive,Agressive
3.21,0.31,4.55,4.3,4.72,-0.04,Agressive,Agressive
2.82,0.35,4.68,4.04,4.74,-0.06,Agressive,Agressive
2.5,0.4,4.69,3.67,4.64,-0.07,Agressive,Agressive
2.79,0.36,4.72,3.76,4.49,-0.05,Agressive,Agressive
2.96,0.34,4.73,4.03,4.49,-0.05,Agressive,Agressive
3.41,0.29,4.94,4.27,4.49,-0.02,Agressive,Agressive
3.8,0.26,5.04,4.51,4.5,0,Agressive,Agressive
4,0.25,4.96,4.63,4.41,0.01,Agressive,Agressive
4.05,0.25,4.99,4.59,4.37,0.01,Agressive,Agressive
4.05,0.25,4.93,4.58,4.02,0.01,Agressive,Agressive
4.06,0.25,4.94,4.72,3.97,0.01,Agressive,Agressive
4.06,0.25,4.96,4.85,3.97,0.02,Agressive,Agressive
4.08,0.25,4.8,5.04,3.93,0.02,Agressive,Agressive
4.24,0.24,4.8,5.08,4.09,0.01,Agressive,Agressive
4.56,0.22,4.81,5.18,4.11,0.01,Agressive,Agressive
4.76,0.21,4.73,5.32,4.37,0.02,Agressive,Agressive
4.73,0.21,6.02,5.51,5.49,0.02,Agressive,Agressive
4.64,0.22,6.42,6.06,6.04,0.03,Agressive,Agressive
4.79,0.21,6.51,6.69,6.08,0.02,Agressive,Agressive
5.2,0.19,6.52,6.97,6.07,0.02,Agressive,Agressive
5.32,0.19,6.52,7.06,6.07,0.01,Agressive,Agressive
5.32,0.19,6.51,7.14,6.15,0.01,Agressive,Agressive
5.32,0.19,6.51,7.22,6.22,0.01,Agressive,Agressive
5.31,0.19,6.53,7.26,6.21,0.01,Agressive,Agressive
5.18,0.19,6.53,7.31,6.21,0.02,Agressive,Agressive
5.04,0.2,6.55,7.32,6.22,0.02,Agressive,Agressive
5.04,0.2,6.56,7.3,6.12,0,Agressive,Agressive
5.06,0.2,5.48,7.29,5.72,-0.01,Agressive,Agressive
5.06,0.2,5.08,7.14,4.9,-0.02,Agressive,Agressive
4.78,0.21,4.87,6.8,4.99,-0.03,Agressive,Agressive
4.37,0.23,4.96,6.51,5.28,-0.05,Agressive,Agressive
4.3,0.23,5.03,6.28,5.26,-0.05,Agressive,Agressive
4.33,0.23,5.06,6.09,4.95,-0.05,Agressive,Agressive
4.46,0.22,5.09,5.98,4.94,-0.04,Agressive,Agressive
4.49,0.22,5,5.88,5.01,-0.03,Agressive,Agressive
4.58,0.22,5,5.74,5.17,-0.03,Agressive,Agressive
4.56,0.22,5.02,5.64,5.21,-0.02,Agressive,Agressive
4.61,0.22,5.34,5.58,5.41,-0.01,Agressive,Agressive
4.68,0.21,5.42,5.42,5.47,-0.01,Agressive,Agressive
4.64,0.22,5.67,5.35,5.53,-0.01,Agressive,Agressive
4.68,0.21,5.68,5.37,5.52,-0.01,Agressive,Agressive
4.81,0.21,5.66,5.34,5.44,-0.01,Agressive,Agressive
4.98,0.2,5.67,5.2,5.68,-0.01,Agressive,Agressive
5.06,0.2,5.75,5.07,5.68,-0.01,Agressive,Agressive
5.11,0.2,5.73,5.13,5.6,-0.02,Agressive,Agressive
5.16,0.19,5.71,5,5.63,-0.02,Agressive,Agressive
5.31,0.19,5.72,4.66,5.54,-0.01,Agressive,Agressive
5.47,0.18,5.56,4.63,5.58,0,Agressive,Agressive
5.44,0.18,5.43,5.13,5.39,0,Agressive,Agressive
5.41,0.18,5.34,5.66,5.38,0,Agressive,Agressive
5.42,0.18,5.05,5.89,5.32,0,Agressive,Agressive
5.36,0.19,5.12,5.91,5.35,0,Agressive,Agressive
5.25,0.19,5.17,5.95,5.2,0,Agressive,Agressive
5.19,0.19,5.09,6.08,4.94,0,Agressive,Agressive
4.3,0.23,4.56,4.56,4.5,-0.02,Agressive,Agressive
4.5,0.22,4.63,4.52,4.41,-0.02,Agressive,Agressive
4.56,0.22,4.56,4.46,4.29,-0.02,Agressive,Agressive
