lowlevel.spectral_flux.mean,lowlevel.spectral_kurtosis.mean,lowlevel.spectral_rms.mean,lowlevel.spectral_rolloff.mean,lowlevel.spectral_skewness.mean,lowlevel.spectral_spread.mean,lowlevel.spectral_decrease.mean,lowlevel.spectral_centroid.mean,lowlevel.spectral_complexity.mean,lowlevel.spectral_contrast_coeffs.mean.0,lowlevel.spectral_contrast_coeffs.mean.1,lowlevel.spectral_contrast_coeffs.mean.2,lowlevel.spectral_contrast_coeffs.mean.3,lowlevel.spectral_contrast_coeffs.mean.4,lowlevel.spectral_contrast_coeffs.mean.5,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.mean.1,lowlevel.spectral_contrast_valleys.mean.2,lowlevel.spectral_contrast_valleys.mean.3,lowlevel.spectral_contrast_valleys.mean.4,lowlevel.spectral_contrast_valleys.mean.5,lowlevel.dissonance.mean
0.11,7.17,0.01,1554.22,1.63,2917567.00,0.00,1285.41,18.78,-0.61,-0.64,-0.74,-0.68,-0.74,-0.70,-7.28,-6.77,-7.44,-7.50,-7.76,-11.34,0.45
0.10,6.43,0.01,1523.12,1.61,3540325.00,0.00,1246.06,18.29,-0.62,-0.65,-0.75,-0.69,-0.74,-0.71,-7.26,-6.79,-7.44,-7.56,-7.85,-11.26,0.45
0.09,6.69,0.01,1387.22,1.67,3883380.00,0.00,1159.81,17.40,-0.62,-0.66,-0.75,-0.69,-0.75,-0.72,-7.30,-6.88,-7.55,-7.72,-7.98,-11.32,0.44
0.09,6.06,0.01,1269.98,1.69,3588483.25,0.00,1065.24,17.22,-0.62,-0.66,-0.74,-0.70,-0.76,-0.72,-7.20,-6.89,-7.57,-7.78,-7.98,-11.28,0.44
0.10,7.43,0.01,1243.66,1.82,3581751.75,0.00,1092.35,18.44,-0.61,-0.67,-0.74,-0.69,-0.75,-0.72,-7.16,-6.69,-7.49,-7.63,-7.87,-11.12,0.45
0.10,5.74,0.01,1365.68,1.64,3650368.25,0.00,1175.12,17.93,-0.61,-0.67,-0.74,-0.69,-0.74,-0.72,-7.41,-6.73,-7.60,-7.75,-7.96,-11.19,0.44
0.09,6.22,0.01,1409.23,1.69,3697237.00,0.00,1220.22,17.02,-0.63,-0.68,-0.73,-0.69,-0.74,-0.72,-7.40,-6.77,-7.72,-7.80,-7.98,-11.17,0.45
0.08,6.48,0.00,1350.85,1.72,3731170.25,0.00,1166.78,15.60,-0.63,-0.68,-0.73,-0.69,-0.74,-0.72,-7.49,-6.91,-7.92,-8.00,-8.19,-11.36,0.44
0.08,6.88,0.00,1445.12,1.76,3207427.25,0.00,1248.04,14.84,-0.62,-0.69,-0.73,-0.69,-0.75,-0.72,-7.67,-6.94,-8.01,-8.03,-8.21,-11.41,0.45
0.07,6.99,0.00,1439.38,1.77,3902981.75,0.00,1265.18,12.93,-0.63,-0.72,-0.72,-0.70,-0.74,-0.73,-7.91,-7.11,-8.17,-8.25,-8.43,-11.54,0.44
0.07,6.54,0.00,1429.33,1.75,3793851.75,0.00,1241.09,12.07,-0.61,-0.73,-0.71,-0.70,-0.74,-0.73,-8.24,-7.14,-8.22,-8.36,-8.52,-11.64,0.44
0.07,7.43,0.00,1413.54,1.84,3193973.75,0.00,1264.10,11.89,-0.61,-0.74,-0.69,-0.71,-0.74,-0.73,-8.16,-7.17,-8.24,-8.34,-8.51,-11.69,0.43
0.07,7.51,0.00,1447.99,1.82,3216481.75,0.00,1311.15,11.42,-0.62,-0.74,-0.69,-0.71,-0.75,-0.72,-8.16,-7.25,-8.25,-8.37,-8.50,-11.75,0.43
0.07,6.61,0.00,1660.45,1.67,3477015.75,0.00,1445.27,10.58,-0.64,-0.75,-0.70,-0.71,-0.75,-0.72,-8.28,-7.26,-8.30,-8.36,-8.47,-11.77,0.43
0.07,6.65,0.00,1717.87,1.65,3412374.50,0.00,1486.24,11.29,-0.63,-0.75,-0.70,-0.71,-0.74,-0.72,-8.31,-7.12,-8.14,-8.20,-8.35,-11.66,0.44
0.06,6.58,0.00,1738.93,1.64,3901746.75,0.00,1485.93,10.89,-0.63,-0.76,-0.70,-0.73,-0.75,-0.72,-8.42,-7.13,-8.14,-8.22,-8.36,-11.64,0.44
0.08,6.34,0.00,1611.64,1.63,3271127.00,0.00,1460.25,11.67,-0.63,-0.76,-0.70,-0.73,-0.75,-0.72,-8.21,-7.06,-7.97,-8.16,-8.24,-11.56,0.44
0.07,6.53,0.00,1557.57,1.64,3401899.00,0.00,1467.52,11.22,-0.63,-0.76,-0.71,-0.74,-0.75,-0.72,-8.30,-7.17,-8.08,-8.21,-8.33,-11.66,0.44
0.07,6.61,0.00,1683.90,1.62,3234649.50,0.00,1560.38,11.24,-0.64,-0.75,-0.70,-0.75,-0.74,-0.72,-8.40,-7.19,-8.19,-8.23,-8.34,-11.67,0.44
0.08,6.52,0.00,1604.46,1.62,3147818.25,0.00,1482.08,12.53,-0.62,-0.76,-0.69,-0.75,-0.73,-0.72,-8.28,-6.97,-7.94,-8.10,-8.25,-11.58,0.44
0.08,6.16,0.00,1621.21,1.59,3560118.50,0.00,1481.96,12.22,-0.62,-0.75,-0.71,-0.75,-0.74,-0.73,-8.37,-7.01,-7.95,-8.14,-8.27,-11.56,0.44
0.08,5.44,0.00,1688.20,1.51,3505308.50,0.00,1572.90,12.64,-0.63,-0.74,-0.71,-0.75,-0.74,-0.72,-8.14,-7.02,-7.96,-8.04,-8.15,-11.42,0.45
0.08,5.94,0.00,1582.45,1.54,3754790.75,0.00,1511.52,12.67,-0.62,-0.75,-0.72,-0.76,-0.74,-0.73,-8.20,-7.03,-8.00,-8.13,-8.23,-11.51,0.45
0.08,6.16,0.00,1619.30,1.56,3199131.50,0.00,1551.37,12.67,-0.62,-0.75,-0.72,-0.75,-0.73,-0.72,-8.35,-7.03,-7.99,-8.06,-8.22,-11.58,0.45
0.08,6.59,0.00,1581.02,1.60,3338037.00,0.00,1479.73,12.71,-0.61,-0.75,-0.72,-0.74,-0.73,-0.72,-8.38,-6.94,-7.99,-8.13,-8.27,-11.67,0.45
0.08,7.65,0.00,1535.08,1.71,3421536.25,0.00,1440.91,11.67,-0.61,-0.75,-0.72,-0.74,-0.73,-0.72,-8.51,-7.07,-8.08,-8.26,-8.43,-11.82,0.45
0.08,6.70,0.00,1440.81,1.62,3422462.25,0.00,1439.96,11.89,-0.63,-0.74,-0.72,-0.74,-0.73,-0.72,-8.29,-7.03,-8.11,-8.22,-8.40,-11.81,0.45
0.08,6.36,0.00,1445.60,1.57,3614441.50,0.00,1365.83,11.98,-0.63,-0.74,-0.74,-0.75,-0.74,-0.72,-8.18,-7.03,-8.06,-8.22,-8.37,-11.82,0.44
0.08,5.58,0.00,1470.96,1.51,3791285.75,0.00,1392.92,12.18,-0.65,-0.74,-0.74,-0.75,-0.75,-0.72,-8.10,-6.99,-7.97,-8.04,-8.25,-11.71,0.45
0.09,7.59,0.00,1374.30,1.74,3226019.50,0.00,1316.77,13.51,-0.65,-0.75,-0.74,-0.74,-0.75,-0.72,-7.92,-6.78,-7.74,-7.86,-8.09,-11.60,0.45
0.10,6.89,0.00,1388.17,1.65,3656658.75,0.00,1326.80,14.20,-0.64,-0.74,-0.74,-0.73,-0.76,-0.72,-7.86,-6.69,-7.72,-7.77,-8.02,-11.54,0.45
0.10,5.26,0.00,1382.91,1.49,3345695.00,0.00,1349.69,14.27,-0.65,-0.74,-0.75,-0.73,-0.75,-0.71,-7.78,-6.66,-7.79,-7.77,-8.01,-11.53,0.46
0.10,5.37,0.00,1298.21,1.51,3386615.00,0.00,1315.28,14.33,-0.65,-0.74,-0.75,-0.73,-0.76,-0.72,-7.79,-6.68,-7.78,-7.80,-8.02,-11.53,0.46
0.10,6.43,0.00,1430.76,1.58,2992482.50,0.00,1366.21,15.16,-0.65,-0.73,-0.75,-0.72,-0.75,-0.71,-7.79,-6.55,-7.64,-7.64,-7.89,-11.45,0.45
0.11,6.95,0.00,1415.45,1.64,3712335.00,0.00,1355.12,16.18,-0.64,-0.73,-0.76,-0.72,-0.76,-0.71,-7.70,-6.45,-7.54,-7.55,-7.80,-11.30,0.46
0.10,5.50,0.00,1422.15,1.52,3487068.75,0.00,1361.26,15.80,-0.64,-0.74,-0.76,-0.72,-0.76,-0.71,-7.79,-6.48,-7.58,-7.57,-7.85,-11.35,0.46
0.11,5.87,0.00,1423.58,1.55,3502713.25,0.00,1414.59,15.67,-0.65,-0.74,-0.76,-0.72,-0.76,-0.72,-7.62,-6.51,-7.54,-7.51,-7.77,-11.25,0.46
0.10,5.74,0.00,1483.88,1.53,3629047.50,0.00,1441.15,14.89,-0.66,-0.75,-0.76,-0.72,-0.76,-0.72,-7.66,-6.61,-7.65,-7.63,-7.85,-11.30,0.46
0.10,5.97,0.00,1538.91,1.56,3540338.50,0.00,1475.31,14.71,-0.66,-0.74,-0.74,-0.70,-0.75,-0.72,-7.71,-6.75,-7.67,-7.62,-7.94,-11.37,0.45
0.10,6.66,0.00,1602.55,1.62,3090132.25,0.00,1467.62,14.69,-0.65,-0.74,-0.74,-0.70,-0.74,-0.71,-7.79,-6.72,-7.67,-7.69,-7.98,-11.51,0.45
0.10,6.34,0.00,1570.01,1.58,3936412.50,0.00,1440.44,15.53,-0.63,-0.74,-0.75,-0.71,-0.75,-0.72,-7.85,-6.66,-7.59,-7.62,-7.91,-11.34,0.45
0.10,6.26,0.00,1511.15,1.59,3055854.25,0.00,1434.95,15.78,-0.64,-0.73,-0.75,-0.71,-0.75,-0.71,-7.73,-6.69,-7.61,-7.68,-7.91,-11.46,0.45
0.10,7.81,0.00,1503.97,1.70,2886407.00,0.00,1430.77,15.47,-0.65,-0.73,-0.76,-0.71,-0.75,-0.71,-7.71,-6.81,-7.64,-7.69,-7.98,-11.56,0.45
0.09,6.38,0.00,1638.44,1.58,3302720.75,0.00,1499.85,15.00,-0.66,-0.73,-0.76,-0.70,-0.74,-0.71,-7.80,-6.84,-7.74,-7.77,-8.04,-11.58,0.45
0.09,7.17,0.00,1703.04,1.65,3121430.50,0.00,1505.54,14.69,-0.65,-0.73,-0.76,-0.70,-0.74,-0.71,-7.85,-6.82,-7.75,-7.81,-8.08,-11.63,0.46
0.08,7.73,0.00,1673.37,1.71,3048650.00,0.00,1528.82,14.69,-0.64,-0.73,-0.76,-0.70,-0.73,-0.72,-8.06,-6.90,-7.84,-7.84,-8.15,-11.65,0.45
0.09,6.46,0.00,1638.44,1.60,3265295.75,0.00,1516.27,14.64,-0.64,-0.73,-0.74,-0.70,-0.73,-0.71,-7.94,-6.86,-7.82,-7.86,-8.14,-11.62,0.45
0.09,6.53,0.00,1690.12,1.58,3453949.50,0.00,1573.15,14.49,-0.65,-0.72,-0.74,-0.70,-0.72,-0.71,-7.89,-6.92,-7.94,-7.87,-8.16,-11.61,0.45
0.08,6.45,0.00,1717.39,1.58,3095403.75,0.00,1600.67,14.29,-0.65,-0.72,-0.74,-0.69,-0.72,-0.71,-8.00,-6.90,-7.89,-7.95,-8.17,-11.66,0.45
0.09,5.84,0.00,1774.34,1.52,3154053.75,0.00,1611.36,15.04,-0.64,-0.73,-0.75,-0.70,-0.72,-0.71,-7.94,-6.75,-7.76,-7.83,-8.05,-11.52,0.45
0.08,7.02,0.00,1782.47,1.63,2919953.00,0.00,1612.51,14.07,-0.64,-0.74,-0.75,-0.70,-0.72,-0.71,-8.11,-6.87,-7.85,-7.96,-8.23,-11.65,0.45
0.08,7.45,0.00,1787.26,1.68,3256288.00,0.00,1622.48,13.73,-0.66,-0.74,-0.74,-0.71,-0.72,-0.71,-7.94,-6.90,-7.83,-7.94,-8.18,-11.56,0.45
0.08,6.45,0.00,1780.08,1.59,3498541.50,0.00,1620.08,14.11,-0.67,-0.73,-0.74,-0.71,-0.72,-0.72,-7.83,-6.90,-7.84,-7.90,-8.16,-11.48,0.45
0.09,7.04,0.00,1806.40,1.67,3572810.25,0.00,1582.18,14.49,-0.67,-0.72,-0.72,-0.71,-0.73,-0.72,-7.85,-6.82,-7.70,-7.84,-8.07,-11.37,0.45
0.08,8.01,0.00,1829.84,1.77,3550758.75,0.00,1557.15,14.33,-0.66,-0.72,-0.71,-0.71,-0.72,-0.72,-8.01,-6.88,-7.78,-7.94,-8.17,-11.51,0.44
0.08,7.62,0.00,1846.11,1.72,3559993.50,0.00,1567.40,14.58,-0.65,-0.73,-0.71,-0.71,-0.72,-0.72,-8.04,-6.84,-7.78,-7.92,-8.16,-11.46,0.44
0.09,7.16,0.00,1837.50,1.68,3395648.00,0.00,1536.12,14.49,-0.66,-0.73,-0.70,-0.72,-0.72,-0.72,-7.98,-6.85,-7.77,-7.90,-8.17,-11.48,0.45
0.08,7.50,0.00,1781.04,1.73,3212531.50,0.00,1500.68,14.93,-0.65,-0.72,-0.70,-0.71,-0.72,-0.72,-7.92,-6.92,-7.79,-7.97,-8.21,-11.51,0.44
0.09,8.74,0.00,1731.27,1.84,3328735.75,0.00,1446.38,15.36,-0.63,-0.72,-0.69,-0.70,-0.72,-0.72,-8.02,-6.92,-7.79,-7.95,-8.21,-11.57,0.44
0.09,8.46,0.00,1659.49,1.86,3142832.00,0.00,1346.46,16.33,-0.61,-0.72,-0.69,-0.70,-0.72,-0.73,-8.05,-6.81,-7.64,-7.87,-8.16,-11.54,0.44
0.10,8.60,0.00,1675.28,1.86,3263839.75,0.00,1382.89,17.13,-0.59,-0.71,-0.68,-0.69,-0.72,-0.73,-8.08,-6.79,-7.60,-7.81,-8.10,-11.45,0.44
0.10,8.22,0.00,1560.92,1.79,3556444.50,0.00,1351.89,16.44,-0.60,-0.71,-0.69,-0.69,-0.72,-0.72,-8.04,-6.84,-7.69,-7.86,-8.19,-11.56,0.43
0.10,8.09,0.00,1544.65,1.77,2817219.00,0.00,1329.01,16.47,-0.60,-0.72,-0.69,-0.69,-0.72,-0.72,-7.99,-6.88,-7.75,-7.90,-8.23,-11.69,0.43
0.09,7.69,0.00,1566.66,1.75,3175777.00,0.00,1302.81,16.27,-0.59,-0.72,-0.70,-0.70,-0.73,-0.72,-8.06,-6.93,-7.71,-7.85,-8.19,-11.65,0.43
0.09,7.05,0.00,1581.49,1.69,3283216.75,0.00,1340.50,16.87,-0.57,-0.72,-0.71,-0.70,-0.74,-0.72,-8.06,-6.91,-7.54,-7.70,-8.08,-11.54,0.44
0.09,7.45,0.00,1616.90,1.71,3414012.00,0.00,1387.10,17.00,-0.56,-0.72,-0.70,-0.69,-0.73,-0.72,-8.02,-6.93,-7.59,-7.69,-8.06,-11.51,0.44
0.10,6.83,0.00,1582.45,1.67,3244019.50,0.00,1313.92,17.09,-0.57,-0.72,-0.70,-0.70,-0.74,-0.72,-7.88,-6.87,-7.51,-7.60,-7.98,-11.47,0.44
0.10,8.19,0.00,1570.49,1.78,3164998.75,0.00,1289.83,17.56,-0.56,-0.71,-0.70,-0.70,-0.74,-0.71,-7.80,-6.87,-7.48,-7.61,-7.95,-11.46,0.44
0.10,5.92,0.00,1584.37,1.58,3424055.00,0.00,1305.48,16.56,-0.56,-0.71,-0.70,-0.70,-0.74,-0.72,-7.95,-6.94,-7.50,-7.62,-7.98,-11.47,0.44
0.09,7.79,0.00,1665.71,1.75,3205932.00,0.00,1353.39,16.60,-0.56,-0.71,-0.71,-0.71,-0.74,-0.71,-8.11,-6.89,-7.49,-7.60,-7.97,-11.50,0.44
0.10,6.78,0.01,1699.69,1.63,3086947.50,0.00,1423.96,17.93,-0.55,-0.72,-0.70,-0.70,-0.73,-0.70,-8.03,-6.75,-7.43,-7.50,-7.83,-11.39,0.44
0.11,7.81,0.01,1633.65,1.74,2848433.00,0.00,1365.00,18.29,-0.56,-0.71,-0.70,-0.70,-0.74,-0.71,-7.92,-6.71,-7.34,-7.43,-7.77,-11.36,0.44
0.11,7.28,0.01,1669.54,1.67,3642667.00,0.00,1390.90,18.20,-0.57,-0.70,-0.70,-0.69,-0.74,-0.71,-7.87,-6.72,-7.35,-7.47,-7.77,-11.28,0.44
0.11,7.80,0.01,1723.13,1.72,3424055.00,0.00,1429.07,18.42,-0.57,-0.69,-0.70,-0.68,-0.73,-0.71,-7.92,-6.65,-7.36,-7.53,-7.82,-11.33,0.44
0.10,7.38,0.01,1770.99,1.66,2888787.00,0.00,1498.77,18.18,-0.58,-0.70,-0.70,-0.67,-0.72,-0.70,-8.00,-6.65,-7.40,-7.54,-7.87,-11.43,0.44
0.10,7.76,0.01,1764.29,1.70,3138876.75,0.00,1488.99,17.80,-0.58,-0.70,-0.71,-0.68,-0.72,-0.71,-8.08,-6.62,-7.45,-7.59,-7.90,-11.41,0.44
0.09,7.31,0.00,1687.25,1.66,3350891.75,0.00,1459.93,17.53,-0.57,-0.71,-0.72,-0.68,-0.73,-0.71,-8.19,-6.56,-7.43,-7.63,-7.88,-11.40,0.45
0.10,6.99,0.01,1735.47,1.63,2825496.50,0.00,1485.49,18.81,-0.57,-0.70,-0.71,-0.67,-0.73,-0.70,-8.07,-6.41,-7.32,-7.47,-7.74,-11.30,0.45
0.10,6.81,0.01,1805.39,1.61,2804140.25,0.00,1514.99,18.55,-0.58,-0.71,-0.73,-0.67,-0.73,-0.70,-8.16,-6.40,-7.31,-7.51,-7.80,-11.41,0.46
0.10,7.31,0.01,1860.09,1.66,2901702.00,0.00,1565.92,19.50,-0.58,-0.71,-0.74,-0.66,-0.72,-0.70,-8.17,-6.36,-7.26,-7.45,-7.77,-11.31,0.46
0.10,7.57,0.01,1818.12,1.69,3027988.00,0.00,1567.44,19.53,-0.59,-0.70,-0.74,-0.66,-0.72,-0.70,-8.04,-6.35,-7.25,-7.43,-7.73,-11.23,0.46
0.10,7.07,0.01,1769.04,1.67,3019697.00,0.00,1517.11,19.35,-0.60,-0.70,-0.74,-0.67,-0.73,-0.71,-7.91,-6.36,-7.27,-7.44,-7.79,-11.31,0.45
0.10,8.16,0.01,1743.21,1.76,3214750.50,0.00,1545.03,18.86,-0.60,-0.71,-0.74,-0.67,-0.73,-0.71,-7.98,-6.38,-7.33,-7.53,-7.84,-11.33,0.45
0.10,7.78,0.00,1781.27,1.75,3379981.50,0.00,1584.51,17.56,-0.57,-0.72,-0.76,-0.68,-0.73,-0.71,-8.35,-6.41,-7.39,-7.56,-7.89,-11.33,0.44
0.12,7.08,0.01,1774.95,1.73,3758289.25,0.00,1537.25,18.71,-0.54,-0.74,-0.76,-0.69,-0.74,-0.71,-8.47,-6.18,-7.25,-7.41,-7.76,-11.18,0.42
0.15,8.59,0.01,1780.80,1.97,4589271.00,0.00,1479.57,19.10,-0.55,-0.75,-0.75,-0.71,-0.76,-0.73,-8.41,-6.09,-7.21,-7.41,-7.62,-10.92,0.40
0.19,7.89,0.01,1783.67,2.05,5386758.00,0.00,1552.28,17.67,-0.63,-0.78,-0.78,-0.76,-0.78,-0.76,-8.33,-6.54,-7.21,-7.53,-7.75,-10.88,0.37
0.05,85.22,0.00,582.83,7.51,2728226.50,0.00,499.34,4.60,-0.57,-0.50,-0.74,-0.81,-0.84,-0.87,-8.98,-7.60,-8.94,-9.88,-10.60,-12.80,0.21
0.06,79.16,0.00,550.77,7.17,1841186.50,0.00,468.65,4.91,-0.55,-0.50,-0.73,-0.80,-0.83,-0.87,-8.90,-7.69,-8.91,-9.82,-10.59,-12.94,0.22
0.07,73.49,0.00,527.80,6.87,2551193.00,0.00,447.49,5.11,-0.52,-0.50,-0.73,-0.80,-0.83,-0.87,-8.86,-7.70,-8.81,-9.63,-10.39,-12.71,0.24
0.08,69.01,0.01,518.23,6.65,2765578.25,0.00,428.22,5.51,-0.50,-0.50,-0.72,-0.80,-0.82,-0.87,-8.78,-7.65,-8.73,-9.49,-10.28,-12.61,0.26
0.09,57.54,0.01,503.40,6.02,1412992.00,0.00,401.64,5.91,-0.48,-0.51,-0.71,-0.79,-0.82,-0.87,-8.77,-7.64,-8.68,-9.53,-10.31,-12.76,0.26
0.08,67.63,0.00,494.79,6.63,1945019.38,0.00,383.70,6.00,-0.46,-0.52,-0.71,-0.79,-0.82,-0.87,-8.82,-7.60,-8.67,-9.51,-10.33,-12.68,0.27
0.07,69.08,0.00,501.01,6.59,2746707.25,0.00,400.22,5.62,-0.48,-0.53,-0.72,-0.79,-0.82,-0.88,-9.09,-7.76,-8.73,-9.64,-10.46,-12.79,0.28
0.07,67.75,0.00,498.61,6.41,2421161.75,0.00,412.76,5.93,-0.49,-0.53,-0.73,-0.79,-0.82,-0.87,-8.98,-7.57,-8.68,-9.62,-10.48,-12.86,0.29
0.07,79.19,0.00,534.02,7.07,2562583.25,0.00,439.35,5.91,-0.50,-0.53,-0.74,-0.79,-0.82,-0.88,-9.07,-7.47,-8.62,-9.62,-10.50,-12.88,0.28
0.07,78.14,0.00,521.10,6.97,2323066.75,0.00,435.56,5.76,-0.51,-0.53,-0.74,-0.79,-0.82,-0.87,-9.01,-7.45,-8.63,-9.62,-10.50,-12.91,0.27
0.06,74.06,0.00,525.41,6.72,2130156.50,0.00,466.90,5.87,-0.52,-0.54,-0.74,-0.79,-0.82,-0.87,-9.12,-7.51,-8.65,-9.67,-10.58,-13.02,0.26
0.06,79.62,0.00,537.85,7.06,2580853.25,0.00,452.59,6.02,-0.51,-0.54,-0.73,-0.79,-0.82,-0.87,-9.12,-7.43,-8.61,-9.65,-10.55,-12.95,0.26
0.06,79.71,0.00,560.34,6.99,2102821.00,0.00,463.72,6.29,-0.52,-0.54,-0.73,-0.79,-0.81,-0.87,-9.13,-7.32,-8.52,-9.64,-10.55,-12.99,0.25
0.06,84.98,0.00,582.35,7.25,1801422.63,0.00,467.03,6.49,-0.53,-0.55,-0.73,-0.78,-0.81,-0.87,-9.05,-7.20,-8.50,-9.68,-10.64,-13.10,0.25
0.05,83.83,0.00,597.67,7.14,2136005.75,0.00,493.00,6.82,-0.54,-0.55,-0.73,-0.78,-0.80,-0.87,-8.99,-7.11,-8.40,-9.63,-10.56,-13.04,0.26
0.05,86.62,0.00,596.71,7.20,2022601.25,0.00,491.16,6.89,-0.55,-0.56,-0.73,-0.79,-0.81,-0.87,-8.84,-6.93,-8.40,-9.62,-10.50,-13.04,0.27
0.04,86.80,0.00,611.54,7.25,2069107.25,0.00,498.66,6.82,-0.55,-0.57,-0.73,-0.79,-0.81,-0.87,-8.96,-6.98,-8.53,-9.70,-10.56,-13.11,0.28
0.05,85.62,0.00,588.10,7.21,2304385.50,0.00,477.42,7.62,-0.54,-0.57,-0.71,-0.78,-0.81,-0.86,-8.68,-6.72,-8.35,-9.53,-10.35,-12.88,0.29
0.06,80.37,0.00,583.79,6.93,2235690.75,0.00,464.35,7.71,-0.52,-0.59,-0.71,-0.79,-0.81,-0.86,-8.70,-6.65,-8.37,-9.53,-10.34,-12.89,0.30
0.05,79.63,0.00,577.57,6.98,1957005.50,0.00,448.06,7.67,-0.51,-0.60,-0.70,-0.79,-0.81,-0.86,-8.76,-6.67,-8.42,-9.56,-10.36,-12.90,0.31
0.06,76.20,0.00,576.13,6.74,2151133.00,0.00,438.61,7.89,-0.51,-0.62,-0.70,-0.79,-0.81,-0.86,-8.68,-6.54,-8.36,-9.55,-10.32,-12.88,0.32
0.05,78.64,0.00,566.08,6.88,2341310.75,0.00,436.68,7.60,-0.52,-0.63,-0.71,-0.80,-0.82,-0.86,-8.76,-6.62,-8.45,-9.62,-10.40,-12.94,0.34
0.05,78.53,0.00,572.78,6.92,2097339.75,0.00,441.55,7.56,-0.53,-0.64,-0.71,-0.80,-0.82,-0.86,-8.74,-6.58,-8.53,-9.68,-10.47,-13.01,0.35
0.05,72.70,0.00,557.95,6.61,2060786.63,0.00,428.11,7.51,-0.52,-0.64,-0.70,-0.80,-0.82,-0.86,-8.65,-6.55,-8.54,-9.60,-10.38,-12.95,0.35
0.05,75.88,0.00,558.91,6.85,2069445.75,0.00,424.08,7.67,-0.51,-0.63,-0.69,-0.80,-0.82,-0.86,-8.53,-6.45,-8.37,-9.46,-10.26,-12.82,0.34
0.05,71.26,0.00,563.69,6.57,2098823.75,0.00,429.85,7.67,-0.52,-0.63,-0.69,-0.80,-0.82,-0.87,-8.53,-6.54,-8.39,-9.44,-10.25,-12.79,0.34
0.06,71.31,0.01,563.69,6.56,2115075.25,0.00,414.07,8.27,-0.50,-0.62,-0.68,-0.80,-0.82,-0.87,-8.30,-6.31,-8.18,-9.20,-10.00,-12.53,0.34
0.06,72.77,0.01,544.55,6.70,1972934.75,0.00,415.35,8.49,-0.50,-0.61,-0.67,-0.79,-0.81,-0.87,-8.30,-6.29,-8.15,-9.19,-9.97,-12.53,0.33
0.06,66.93,0.01,554.12,6.28,2326608.00,0.00,424.79,8.53,-0.50,-0.61,-0.67,-0.79,-0.81,-0.87,-8.30,-6.33,-8.11,-9.18,-9.89,-12.45,0.33
0.06,67.71,0.01,557.47,6.38,2359051.00,0.00,419.86,8.62,-0.51,-0.60,-0.67,-0.79,-0.82,-0.87,-8.25,-6.31,-8.08,-9.15,-9.83,-12.40,0.34
0.05,71.06,0.01,582.35,6.58,2540471.50,0.00,437.78,8.42,-0.51,-0.60,-0.67,-0.80,-0.82,-0.87,-8.41,-6.35,-8.15,-9.20,-9.91,-12.47,0.34
0.05,66.92,0.00,575.18,6.39,2096452.75,0.00,425.48,8.11,-0.53,-0.61,-0.68,-0.80,-0.82,-0.87,-8.43,-6.39,-8.28,-9.35,-10.06,-12.61,0.33
0.05,71.96,0.00,578.53,6.63,2353036.75,0.00,425.62,8.11,-0.53,-0.62,-0.69,-0.80,-0.81,-0.87,-8.42,-6.28,-8.24,-9.33,-10.05,-12.58,0.33
0.05,70.04,0.01,548.86,6.57,1713822.63,0.00,412.99,8.07,-0.53,-0.62,-0.70,-0.79,-0.81,-0.87,-8.46,-6.26,-8.32,-9.38,-10.07,-12.60,0.33
0.04,71.00,0.00,542.64,6.57,2179529.50,0.00,403.62,7.69,-0.53,-0.62,-0.72,-0.79,-0.81,-0.87,-8.58,-6.37,-8.45,-9.46,-10.15,-12.70,0.33
0.03,69.81,0.00,510.58,6.51,2157512.00,0.00,390.44,6.98,-0.54,-0.63,-0.73,-0.80,-0.81,-0.87,-8.85,-6.60,-8.69,-9.70,-10.38,-12.96,0.32
0.03,70.32,0.00,490.48,6.53,2370938.25,0.00,388.51,6.44,-0.54,-0.64,-0.74,-0.79,-0.81,-0.87,-9.13,-6.71,-8.89,-9.84,-10.50,-13.11,0.32
0.03,71.29,0.00,481.87,6.54,2361479.50,0.00,391.75,6.09,-0.53,-0.64,-0.75,-0.79,-0.81,-0.87,-9.32,-6.82,-8.97,-9.92,-10.63,-13.26,0.32
0.03,67.83,0.00,463.20,6.40,1986155.50,0.00,370.72,6.20,-0.54,-0.64,-0.76,-0.80,-0.80,-0.86,-9.20,-6.73,-8.85,-9.82,-10.61,-13.24,0.32
0.04,75.01,0.00,459.38,6.68,2564412.25,0.00,395.23,6.24,-0.54,-0.64,-0.76,-0.80,-0.80,-0.86,-9.21,-6.61,-8.69,-9.63,-10.47,-13.11,0.31
0.04,77.01,0.00,467.51,6.76,2477533.50,0.00,415.47,6.31,-0.53,-0.63,-0.76,-0.79,-0.80,-0.86,-9.18,-6.56,-8.64,-9.58,-10.44,-13.09,0.31
0.04,82.40,0.00,460.81,7.03,1845436.50,0.00,407.70,6.38,-0.52,-0.61,-0.75,-0.79,-0.79,-0.86,-9.17,-6.62,-8.67,-9.57,-10.49,-13.19,0.30
0.03,77.80,0.00,470.38,6.83,1919565.88,0.00,423.82,6.33,-0.51,-0.60,-0.75,-0.79,-0.79,-0.86,-9.30,-6.73,-8.64,-9.54,-10.46,-13.14,0.30
0.03,76.38,0.00,478.52,6.65,2161512.75,0.00,430.58,6.29,-0.51,-0.58,-0.75,-0.79,-0.79,-0.86,-9.18,-6.83,-8.61,-9.52,-10.43,-13.11,0.28
